Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A503365,WILDLIFE,04/09/2023,*BAXTER BUNNY,OTHER,1 YEAR,SMALL,WHITE / WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503365&location=MONT,
A502904,OWNER SUR,03/28/2023,*SHILO,DOG,4 YEARS,MED,BLACK,AMER BULLDOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502904&location=MONT,
A489026,CONFISCATE,03/18/2023,ROSCOE,DOG,5 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489026&location=MONT,
A502980,RETURN,04/14/2023,RANGER,DOG,9 MONTHS,SMALL,BROWN,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502980&location=MONT,
A501328,OWNER SUR,01/12/2023,*CANDLE,OTHER,14 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501328&location=MONT,
A501515,OWNER SUR,01/17/2023,*NINJA,OTHER,13 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501515&location=MONT,
A501329,OWNER SUR,01/12/2023,*NIGHTLY,OTHER,13 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501329&location=MONT,
A500853,OWNER SUR,02/02/2023,MAXIMILIAN,DOG,8 YEARS,LARGE,BRINDLE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500853&location=MONT,
A484265,OWNER SUR,02/05/2023,ZEUS,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A484265&location=MONT,
A406310,CONFISCATE,03/18/2023,CHARLIE,DOG,7 YEARS,MED,WHITE / BROWN,AM PIT BULL TER / BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A406310&location=MONT,
A500523,FOSTER,03/27/2023,MAMLAMBO,OTHER,8 MONTHS,MED,TORTIE,RABBIT SH / HARLEQUIN,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500523&location=MONT,
A501528,OWNER SUR,01/17/2023,*VIP,OTHER,14 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501528&location=MONT,
A501516,OWNER SUR,01/17/2023,*VISION,OTHER,13 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501516&location=MONT,
A500998,OWNER SUR,01/06/2023,*AMELIA,OTHER,15 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500998&location=MONT,
A501299,RETURN,02/17/2023,*RALPH,OTHER,14 WEEKS,SMALL,BROWN,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501299&location=MONT,
A501517,OWNER SUR,01/17/2023,*CONCEPT,OTHER,13 WEEKS,SMALL,BROWN,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501517&location=MONT,
A501296,RETURN,02/17/2023,*MAX,OTHER,14 WEEKS,SMALL,BLACK,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501296&location=MONT,
A501364,OWNER SUR,01/06/2023,*UNO,OTHER,15 WEEKS,SMALL,BROWN,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501364&location=MONT,
A502478,OWNER SUR,03/16/2023,TOKI,DOG,5 YEARS,LARGE,WHITE,GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502478&location=MONT,
A501000,OWNER SUR,01/06/2023,*BUTTERCUP,OTHER,15 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501000&location=MONT,
A501518,OWNER SUR,01/17/2023,*MIAMI,OTHER,13 WEEKS,SMALL,BLACK,MOUSE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501518&location=MONT,
A501228,RETURN,03/25/2023,*COCONUT,DOG,2 YEARS,MED,WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501228&location=MONT,
A502398,OWNER SUR,03/14/2023,SKITTLES,DOG,7 YEARS,MED,WHITE / TAN,JACK RUSS TERR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502398&location=MONT,
A501236,EUTH REQ,02/12/2023,MZEE,OTHER,16 YEARS,LARGE,GREEN,TURTLE,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501236&location=MONT,
A501609,OWNER SUR,02/21/2023,COCO,DOG,1 YEAR 2 MONTHS,MED,BLACK / WHITE,LABRADOR RETR / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501609&location=MONT,
A501302,OWNER SUR,02/13/2023,YO-YO,DOG,6 YEARS,X-LRG,TAN,LABRADOR RETR / BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501302&location=MONT,
A501390,RETURN,04/07/2023,*MIKEY,DOG,3 YEARS,LARGE,WHITE / BROWN,AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501390&location=MONT,
A502736,OWNER SUR,03/23/2023,COOKIE,DOG,10 MONTHS,MED,TAN,SIBERIAN HUSKY / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502736&location=MONT,
A500515,OWNER SUR,01/23/2023,LOCHNESS,OTHER,9 MONTHS,MED,BLACK / WHITE,RABBIT SH / REX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500515&location=MONT,
A477285,OWNER SUR,03/29/2023,JACK,CAT,2 YEARS,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A477285&location=MONT,
A500851,OWNER SUR,02/02/2023,DREAM,DOG,7 YEARS,MED,BROWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500851&location=MONT,
A503447,OWNER SUR,04/11/2023,RANDY,DOG,2 YEARS,MED,BLACK / BROWN,AUST CATTLE DOG / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503447&location=MONT,
A501047,STRAY,02/07/2023,POLO,OTHER,8 MONTHS,SMALL,BROWN,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501047&location=MONT,"300 CEDAR AVE, GAITHERSBURG MD 20877"
A502797,STRAY,03/25/2023,*PIEDMONT,DOG,1 YEAR 1 MONTH,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502797&location=MONT,"12000 PIEDMONT RD, CLARKSBURG MD 20871"
A485592,STRAY,02/28/2023,LADY,DOG,2 YEARS,MED,TAN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A485592&location=MONT,"22700 SWEET SHRUB DR, CLARKSBURG MD 20871"
A501875,STRAY,03/01/2023,*MURPHY,DOG,6 YEARS,LARGE,TAN,IRISH WOLFHOUND / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501875&location=MONT,FAIRVIEW AVE TAKOMA PARK MD 20912
A501790,STRAY,02/27/2023,TOBY,DOG,1 YEAR 3 MONTHS,MED,BLACK / WHITE,AUST KELPIE / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501790&location=MONT,24600 SHOWNBARN CIR DAMASCUS 20872
A501046,STRAY,02/07/2023,MARCO,OTHER,1 YEAR 2 MONTHS,SMALL,BLACK / WHITE,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501046&location=MONT,"300 CEDAR AVE, GAITHERSBURG MD 20877"
