RELEASE,FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
5 2022,0,IP,,,,1,01/01/2020,01/31/2020,44003,Count
5 2022,0,IP,,,,2,02/01/2020,02/29/2020,40854,Count
5 2022,0,IP,,,,3,03/01/2020,03/31/2020,37222,Count
5 2022,0,IP,,,,4,04/01/2020,04/30/2020,29550,Count
5 2022,0,IP,,,,5,05/01/2020,05/31/2020,34816,Count
5 2022,0,IP,,,,6,06/01/2020,06/30/2020,37941,Count
5 2022,0,IP,,,,7,07/01/2020,07/31/2020,39528,Count
5 2022,0,IP,,,,8,08/01/2020,08/31/2020,38886,Count
5 2022,0,IP,,,,9,09/01/2020,09/30/2020,38249,Count
5 2022,0,IP,,,,10,10/01/2020,10/31/2020,40129,Count
5 2022,0,IP,,,,11,11/01/2020,11/30/2020,38603,Count
5 2022,0,IP,,,,12,12/01/2020,12/31/2020,39446,Count
5 2022,0,IP,,,,13,01/01/2021,01/31/2021,39800,Count
5 2022,0,IP,,,,14,02/01/2021,02/28/2021,36543,Count
5 2022,0,IP,,,,15,03/01/2021,03/31/2021,41628,Count
5 2022,0,IP,,,,16,04/01/2021,04/30/2021,41429,Count
5 2022,0,IP,,,,17,05/01/2021,05/31/2021,40959,Count
5 2022,0,IP,,,,18,06/01/2021,06/30/2021,41769,Count
5 2022,0,IP,,,,19,07/01/2021,07/31/2021,41980,Count
5 2022,0,IP,,,,20,08/01/2021,08/31/2021,42633,Count
5 2022,0,IP,,,,21,09/01/2021,09/30/2021,41184,Count
5 2022,0,IP,,,,22,10/01/2021,10/31/2021,40628,Count
5 2022,0,IP,,,,23,11/01/2021,11/30/2021,40576,Count
5 2022,0,IP,,,,24,12/01/2021,12/31/2021,40891,Count
5 2022,0,IP,,,,25,01/01/2022,01/31/2022,39547,Count
5 2022,0,IP,,,,26,02/01/2022,02/28/2022,35968,Count
5 2022,0,IP,,,,27,03/01/2022,03/31/2022,38613,Count
5 2022,0,IP,,,,28,04/01/2022,04/30/2022,39063,Count
5 2022,0,IP,,,,29,05/01/2022,05/31/2022,41240,Count
5 2022,0,IP,,,,30,06/01/2022,06/30/2022,40251,Count
5 2022,0,IP,,,,31,07/01/2022,07/31/2022,41141,Count
5 2022,0,IP,,,,32,08/01/2022,08/31/2022,42447,Count
5 2022,0,IP,,,,33,09/01/2022,09/30/2022,40594,Count
5 2022,0,IP,,,,34,10/01/2022,10/31/2022,41074,Count
5 2022,0,IP,,,,35,11/01/2022,11/30/2022,29526,Count
5 2022,0,ED,,,,1,01/01/2020,01/31/2020,137103,Count
5 2022,0,ED,,,,2,02/01/2020,02/29/2020,128305,Count
5 2022,0,ED,,,,3,03/01/2020,03/31/2020,107852,Count
5 2022,0,ED,,,,4,04/01/2020,04/30/2020,63129,Count
5 2022,0,ED,,,,5,05/01/2020,05/31/2020,79402,Count
5 2022,0,ED,,,,6,06/01/2020,06/30/2020,92854,Count
5 2022,0,ED,,,,7,07/01/2020,07/31/2020,101571,Count
5 2022,0,ED,,,,8,08/01/2020,08/31/2020,100228,Count
5 2022,0,ED,,,,9,09/01/2020,09/30/2020,97778,Count
5 2022,0,ED,,,,10,10/01/2020,10/31/2020,101336,Count
5 2022,0,ED,,,,11,11/01/2020,11/30/2020,94473,Count
5 2022,0,ED,,,,12,12/01/2020,12/31/2020,93912,Count
5 2022,0,ED,,,,13,01/01/2021,01/31/2021,101793,Count
5 2022,0,ED,,,,14,02/01/2021,02/28/2021,91811,Count
5 2022,0,ED,,,,15,03/01/2021,03/31/2021,109356,Count
5 2022,0,ED,,,,16,04/01/2021,04/30/2021,114405,Count
5 2022,0,ED,,,,17,05/01/2021,05/31/2021,122312,Count
5 2022,0,ED,,,,18,06/01/2021,06/30/2021,122922,Count
5 2022,0,ED,,,,19,07/01/2021,07/31/2021,125941,Count
5 2022,0,ED,,,,20,08/01/2021,08/31/2021,127727,Count
5 2022,0,ED,,,,21,09/01/2021,09/30/2021,122241,Count
5 2022,0,ED,,,,22,10/01/2021,10/31/2021,120600,Count
5 2022,0,ED,,,,23,11/01/2021,11/30/2021,115359,Count
5 2022,0,ED,,,,24,12/01/2021,12/31/2021,123558,Count
5 2022,0,ED,,,,25,01/01/2022,01/31/2022,115007,Count
5 2022,0,ED,,,,26,02/01/2022,02/28/2022,100836,Count
5 2022,0,ED,,,,27,03/01/2022,03/31/2022,116530,Count
5 2022,0,ED,,,,28,04/01/2022,04/30/2022,117367,Count
5 2022,0,ED,,,,29,05/01/2022,05/31/2022,134050,Count
5 2022,0,ED,,,,30,06/01/2022,06/30/2022,125466,Count
5 2022,0,ED,,,,31,07/01/2022,07/31/2022,128916,Count
5 2022,0,ED,,,,32,08/01/2022,08/31/2022,126805,Count
5 2022,0,ED,,,,33,09/01/2022,09/30/2022,125670,Count
5 2022,0,ED,,,,34,10/01/2022,10/31/2022,130461,Count
5 2022,0,ED,,,,35,11/01/2022,11/30/2022,112027,Count
5 2022,1,ED,All Drugs,Age,0-15 Years,1,01/01/2020,01/31/2020,4.270472895,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,1,01/01/2020,01/31/2020,0.0259516,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,1,01/01/2020,01/31/2020,0.0403691,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,1,01/01/2020,01/31/2020,0.161476355,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,1,01/01/2020,01/31/2020,0.011534,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,2,02/01/2020,02/29/2020,4.114577012,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,2,02/01/2020,02/29/2020,0.0212404,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,2,02/01/2020,02/29/2020,0.0455152,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,2,02/01/2020,02/29/2020,0.118339604,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,2,02/01/2020,02/29/2020,0.0182061,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,3,03/01/2020,03/31/2020,4.050677305,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,3,03/01/2020,03/31/2020,0.0219192,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,3,03/01/2020,03/31/2020,0.0394546,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,3,03/01/2020,03/31/2020,0.135899347,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,3,03/01/2020,03/31/2020,0.0306869,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,4,04/01/2020,04/30/2020,3.934240363,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,4,04/01/2020,04/30/2020,0.0340136,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,4,04/01/2020,04/30/2020,0.0566893,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,4,04/01/2020,04/30/2020,0.204081633,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,4,04/01/2020,04/30/2020,0.068027211,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,5,05/01/2020,05/31/2020,4.889871588,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,5,05/01/2020,05/31/2020,0,Percent
5 2022,1,ED,Stimulants,Age,0-15 Years,5,05/01/2020,05/31/2020,0.0595289,Percent
5 2022,1,ED,Cannabis,Age,0-15 Years,5,05/01/2020,05/31/2020,0.246619611,Percent
5 2022,1,ED,Benzodiazepine,Age,0-15 Years,5,05/01/2020,05/31/2020,0.085041245,Percent
5 2022,1,ED,All Drugs,Age,0-15 Years,6,06/01/2020,06/30/2020,3.83523761,Percent
5 2022,1,ED,All Opioids,Age,0-15 Years,6,06/01/2020,06/30/2020,0.0363875,Percent
